subject,identifier,type,creator,title,volume,edition,publisher,year,format,ISBN,ISSN,ISMN,EAN/UPC,binding/price,language,country,date of publication,description,collective title,links,relation,rights,subject headings,connected titles,uniform title,frequency,wv number
670 Industrielle und handwerkliche Fertigung,"URN:urn:nbn:de:bvb:91-diss-20250129-1748793-0-4, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20250129-1748793-0-4, URL:http://d-nb.info/1362197742/34, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20250129-1748793-0-4, IDN:1362197742",Online-Ressource,"Holtmann, Jonas [Verfasser] ; Große, Christian [Akademischer Betreuer] ; Mayr, Peter [Gutachter] ; Große, Christian [Gutachter]","Anomaly Detection in Process Monitoring Data of Additive Manufacturing by Neural Networks : Quantifying Artificial Intelligence in Non-Destructive Testing / Jonas Holtmann ; Gutachter: Peter Mayr, Christian Große ; Betreuer: Christian Große",,,München : Universitätsbibliothek der TU München,2025,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"25,O05"
004 Informatik,"URN:urn:nbn:de:bsz:14-qucosa2-953223, URL:http://nbn-resolving.de/urn:nbn:de:bsz:14-qucosa2-953223, URL:http://d-nb.info/1355979684/34, , IDN:1355979684",Online-Ressource,"Kumar, Nishant [Verfasser] ; Gumhold, Stefan [Gutachter] ; Gumhold, Stefan [Akademischer Betreuer] ; Rother, Carsten [Gutachter]","Applications of Invertible Neural Networks: From Outlier Detection to Solving Inverse Problems / Nishant Kumar ; Gutachter: Stefan Gumhold, Carsten Rother ; Betreuer: Stefan Gumhold",,,Dresden : Technische Universität Dresden,2025,Online-Ressource,,,,,,eng,XA-DE-SN,,,,,,lizenzfrei,,,,,"25,O03"
004 Informatik,"URN:urn:nbn:de:0070-pub-30007359, URL:http://nbn-resolving.de/urn:nbn:de:0070-pub-30007359, URL:http://d-nb.info/1356909736/34, URL:https://pub.uni-bielefeld.de/record/3000735, IDN:1356909736",Online-Ressource,"Friedrichs, Marcel [Verfasser]",Automated Graph-Based Data Integration and Information Fusion: An Open-Source Ecosystem of Tools With a Focus on Maintainability and Usability / Marcel Friedrichs,,,Bielefeld : Universitätsbibliothek Bielefeld,2025,Online-Ressource,,,,,,eng,XA-DE-NW,,,,,,lizenzfrei,,,,,"25,O03"
004 Informatik,"URN:urn:nbn:de:bsz:25-freidok-2626448, URL:http://nbn-resolving.de/urn:nbn:de:bsz:25-freidok-2626448, URL:http://d-nb.info/1356526896/34, URL:https://freidok.uni-freiburg.de/data/262644, IDN:1356526896",Online-Ressource,"Leendertse, Jan [Redner] ; Erxleben-Eggenhofer, Anika [Redner] ; Matic-Chalkitis, Milanka Redner] ; [Rensing, Stefan A. [Redner]",Data Stewardship at the University of Freiburg,,,Freiburg : Universität,2025,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Forschungsdatenmanagement ; Datenorganisation,,,,"25,O03"
500 Naturwissenschaften,"URN:urn:nbn:de:bsz:14-qucosa2-951662, URL:http://nbn-resolving.de/urn:nbn:de:bsz:14-qucosa2-951662, URL:http://d-nb.info/135401961X/34, , IDN:135401961X",Online-Ressource,"Jonsson, Joel [Verfasser] ; Sbalzarini, Ivo Fabian [Akademischer Betreuer] ; Sbalzarini, Ivo Fabian [Gutachter] ; Volpe, Giovanni [Gutachter]","Efficient content-adaptive processing of large-scale fluorescence microscopy data / Joel Jonsson ; Gutachter: Ivo F. Sbalzarini, Giovanni Volpe ; Betreuer: Ivo F. Sbalzarini",,,Dresden : Technische Universität Dresden,2025,Online-Ressource,,,,,,eng,XA-DE-SN,,,,,,lizenzfrei,,,,,"25,O02"
004 Informatik,"URN:urn:nbn:de:bsz:14-qucosa2-945383, URL:http://nbn-resolving.de/urn:nbn:de:bsz:14-qucosa2-945383, URL:http://d-nb.info/1353394093/34, , IDN:1353394093",Online-Ressource,"Pietrzyk, Johannes [Verfasser] ; Lehner, Wolfgang [Gutachter] ; Rabl, Tilmann [Gutachter]","Exploiting Data-Level-Parallelism for Modern In-Memory OLAP Query Engines / Johannes Pietrzyk ; Gutachter: Wolfgang Lehner, Tilmann Rabl",,,Dresden : Technische Universität Dresden,2025,Online-Ressource,,,,,,eng,XA-DE-SN,,,,,,lizenzfrei,,,,,"25,O02"
004 Informatik,"URN:urn:nbn:de:bsz:21-dspace-1619638, URL:http://nbn-resolving.de/urn:nbn:de:bsz:21-dspace-1619638, URL:http://d-nb.info/1356632432/34, URL:https://publikationen.uni-tuebingen.de/xmlui/handle/10900/161963/, URL:http://hdl.handle.net/10900/161963, URL:http://dx.doi.org/10.15496/publikation-103295, URL:http://nbn-resolving.org/urn:nbn:de:bsz:21-dspace-1619638, IDN:1356632432",Online-Ressource,"Peter, Solveig [Verfasser] ; Luxburg, Ulrike von [Akademischer Betreuer]",Graphs in Unsupervised Machine Learning / Solveig Peter ; Betreuer: Ulrike von Luxburg,,,Tübingen : Universitätsbibliothek Tübingen,2025,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Graph ; Maschinelles Lernen,,,,"25,O03"
"370 Erziehung, Schul- und Bildungswesen","URN:urn:nbn:de:kobv:eb1-opus-9744, URL:http://nbn-resolving.de/urn:nbn:de:kobv:eb1-opus-9744, URL:http://d-nb.info/136143869X/34, URL:https://opus4.kobv.de/opus4-hnee/frontdoor/index/index/docId/974, IDN:136143869X",Online-Ressource,Hochschule für nachhaltige Entwicklung Eberswalde,Leitlinie zum Umgang mit Forschungsdaten an der HNEE (02/2025) / Hochschule für nachhaltige Entwicklung Eberswalde,,,16225 Eberswalde : Hochschule für nachhaltige Entwicklung Eberswalde,2025,Online-Ressource,,,,,,ger,XA-DE-BB,,,,,,lizenzfrei,,,,,"25,O04"
004 Informatik,"URN:urn:nbn:de:101:1-2503140452151.738706944221, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2503140452151.738706944221, URL:http://d-nb.info/1359816070/34, , IDN:1359816070",Online-Ressource,"Schlieper, Philipp [Verfasser] ; Eskofier, Björn M. [Akademischer Betreuer] ; Campello, Ricardo J. [Gutachter]",Machine Learning for Industry 4.0: Methods and Applications of Time Series Reconstruction and Outlier Detection / Philipp Schlieper ; Gutachter: Ricardo J. Campello ; Betreuer: Björn M. Eskofier,,,Erlangen : Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),2025,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"25,O04"
"610 Medizin, Gesundheit","URN:urn:nbn:de:bsz:21-dspace-1624312, URL:http://nbn-resolving.de/urn:nbn:de:bsz:21-dspace-1624312, URL:http://d-nb.info/1358477361/34, URL:https://publikationen.uni-tuebingen.de/xmlui/handle/10900/162431/, URL:http://hdl.handle.net/10900/162431, URL:http://dx.doi.org/10.15496/publikation-103763, URL:http://nbn-resolving.org/urn:nbn:de:bsz:21-dspace-1624312, IDN:1358477361",Online-Ressource,"Lause, Jan [Verfasser] ; Berens, Philipp [Akademischer Betreuer]",Models and methods to process single-cell RNA sequencing data for neuroscience / Jan Lause ; Betreuer: Philipp Berens,,,Tübingen : Universitätsbibliothek Tübingen,2025,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Transkriptom ; Zellen ; Neurowissenschaften ; Vorverarbeitung ; Datenverarbeitung ; Visualisierung ; Dimensionsreduktion ; Normalisierung ; Verallgemeinertes lineares Modell ; Biologie ; Data Science ; Einzelzellanalyse,,,,"25,O04"
004 Informatik,"URN:urn:nbn:de:0070-pub-30020276, URL:http://nbn-resolving.de/urn:nbn:de:0070-pub-30020276, URL:http://d-nb.info/1362720100/34, URL:https://pub.uni-bielefeld.de/record/3002027, IDN:1362720100",Online-Ressource,"Elahi, Mohammad Fazleh [Verfasser]",Multilingual Question Answering over Knowledge Graphs building on a Model of the Lexicon-ontology Interface / Mohammad Fazleh Elahi,,,Bielefeld : Universitätsbibliothek Bielefeld,2025,Online-Ressource,,,,,,eng,XA-DE-NW,,,,,,lizenzfrei,,,,,"25,O05"
660 Technische Chemie,"URN:urn:nbn:de:101:1-2503260034382.051315967380, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2503260034382.051315967380, URL:http://d-nb.info/1361333588/34, URL:https://publications.rwth-aachen.de/record/1005785, IDN:1361333588",Online-Ressource,"Schulze, Christoph Franz Robert [Verfasser] ; Bobzin, Kirsten [Akademischer Betreuer] ; Dahlmann, Rainer [Akademischer Betreuer]","OES-Datenerfassung in reaktiven HPPMS-Prozessen und Datenanalyse mittels künstlicher neuronaler Netze / Christoph Franz Robert Schulze ; Kirsten Bobzin, Rainer Dahlmann",,,Aachen : Universitätsbibliothek der RWTH Aachen,2025,Online-Ressource,,,,,,ger,XA-DE-NW,,,"Düren : Shaker Verlag, 2025 (Schriftenreihe Oberflächentechnik; 83)",,,lizenzfrei,,,,,"25,O04"
590 Tiere (Zoologie),"URN:urn:nbn:de:bvb:20-opus-399618, URL:http://nbn-resolving.de/urn:nbn:de:bvb:20-opus-399618, URL:http://d-nb.info/1356529623/34, URL:https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/39961, IDN:1356529623",Online-Ressource,"Standfuß, Ines Antje [Verfasser] ; Dech, Stefan [Gutachter] ; Wikelski, Martin [Gutachter] ; Baumhauer, Roland [Gutachter]","Remote Sensing for Species-Environment Studies Obtaining Meaningful and Robust Environmental Variables for White Stork Habitats / Ines Antje Standfuß ; Gutachter: Stefan Dech, Martin Wikelski, Roland Baumhauer",,,Würzburg : Universität Würzburg,2025,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,"Fernerkundung , Ökologie , Maschinelles Lernen , Data Science",,,,"25,O03"
004 Informatik,"URN:urn:nbn:de:101:1-2503190117389.982370759212, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2503190117389.982370759212, URL:http://d-nb.info/1360385053/34, , IDN:1360385053",Online-Ressource,"Pezone, Francesco [Verfasser] ; Caire, Giuseppe [Akademischer Betreuer] ; Barbarossa, Sergio [Gutachter] ; Caire, Giuseppe [Gutachter] ; Kountouris, Marios [Gutachter] ; Bennis, Mehdi [Gutachter]","Semantic communication based on generative AI: a new approach to image compression and edge optimization / Francesco Pezone ; Gutachter: Sergio Barbarossa, Giuseppe Caire, Marios Kountouris, Mehdi Bennis ; Betreuer: Giuseppe Caire",,,Berlin : Technische Universität Berlin,2025,Online-Ressource,,,,,,eng,XA-DE-BE,,,,,,lizenzfrei,,,,,"25,O04"
510 Mathematik,"URN:urn:nbn:de:tuda-tuprints-295578, URL:http://nbn-resolving.de/urn:nbn:de:tuda-tuprints-295578, URL:http://d-nb.info/1360543406/34, URL:http://tuprints.ulb.tu-darmstadt.de/29557/, IDN:1360543406",Online-Ressource,"Schneider, Thomas Heinrich [Verfasser] ; Schweitzer, Pascal [Akademischer Betreuer] ; Eickmayer, Kord [Akademischer Betreuer]","Structure theory and algorithms for highly regular colored graphs / Thomas Heinrich Schneider ; Pascal Schweitzer, Kord Eickmayer",,,Darmstadt : Universitäts- und Landesbibliothek,2025,Online-Ressource,,,,,,eng,XA-DE-HE,,,,,,lizenzfrei,,,,,"25,O04"
004 Informatik,"URN:urn:nbn:de:bsz:14-qucosa2-895091, URL:http://nbn-resolving.de/urn:nbn:de:bsz:14-qucosa2-895091, URL:http://d-nb.info/1324536381/34, , IDN:1324536381",Online-Ressource,"Demuth, Birgit [Verfasser] ; Rohde, Frank [Verfasser] ; Aßmann, Uwe [Verfasser]","50 Jahre universitärer Informatik-Studiengang an der TU Dresden aus der Sicht von Zeitzeugen in einem Zeitstrahl / Birgit Demuth, Frank Rohde, Uwe Aßmann",,,Dresden : Technische Universität Dresden,2024,Online-Ressource,,,,,,ger,XA-DE-SN,,,,,,lizenzfrei,,,,,"24,O04"
004 Informatik,"URN:urn:nbn:de:gbv:18-ediss-125421, URL:http://nbn-resolving.de/urn:nbn:de:gbv:18-ediss-125421, URL:http://d-nb.info/1356373453/34, URL:https://ediss.sub.uni-hamburg.de/handle/ediss/11463, IDN:1356373453",Online-Ressource,"Kisters, Philipp Verfasser] ; [Lamersdorf, Winfried [Akademischer Betreuer]",A Distributed Service Platform for Managing Streaming Data in Smart Cities / Philipp Kisters ; Betreuer: Winfried Lamersdorf,,,Hamburg : Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,2024,Online-Ressource,,,,,,eng,XA-DE-HH,,,,,,lizenzfrei,Smart City ; Serviceorientierte Architektur ; Verteiltes System ; Verteilte Hash-Tabelle ; Citizen Science,,,,"25,O03"
004 Informatik,"URN:urn:nbn:de:bvb:91-diss-20240521-1729839-1-9, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20240521-1729839-1-9, URL:http://d-nb.info/1334827079/34, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20240521-1729839-1-9, IDN:1334827079",Online-Ressource,"Anneser, Christoph Maximilian Verfasser] ; [Kemper, Alfons [Akademischer Betreuer] ; Schüle, Maximilian E. Gutachter] ; [Kemper, Alfons [Gutachter] ; Giceva Makreshanska, Jana [Gutachter]","Adaptive Optimizations for Databases / Christoph Maximilian Anneser ; Gutachter: Maximilian E. Schüle, Alfons Kemper, Jana Giceva Makreshanska ; Betreuer: Alfons Kemper",,,München : Universitätsbibliothek der TU München,2024,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"24,O08"
004 Informatik,"URN:urn:nbn:de:hbz:294-127474, URL:http://nbn-resolving.de/urn:nbn:de:hbz:294-127474, URL:http://d-nb.info/1346878986/34, URL:https://hss-opus.ub.ruhr-uni-bochum.de/opus4/frontdoor/index/index/docId/12747, IDN:1346878986",Online-Ressource,"Ciftci, Kerem [Verfasser] ; Hackl, Klaus Gutachter] ; [Waimann, Johanna [Gutachter] ; Keip, Marc-André [Gutachter]","An investigation of advances for model-free data-driven computational mechanics : tangent space information, Haigh-Westergaard space, and neural networks / Kerem Ciftci ; Gutachter: Klaus Hackl, Johanna Waimann, Marc-André Keip ; Fakultät für Bau- und Umweltingenieurwissenschaften",,,Bochum : Ruhr-Universität Bochum,2024,Online-Ressource,,,,,,eng,XA-DE-NW,,,Mitteilungen aus dem Institut für Mechanik ; 195,,,lizenzfrei,Data Science ; Neuronales Netz ; Materialmodellierung ; Festkörpermechanik ; Verfestigung,,,,"24,O12"
004 Informatik,"URN:urn:nbn:de:bvb:19-340292, URL:http://nbn-resolving.de/urn:nbn:de:bvb:19-340292, URL:http://d-nb.info/1340725320/34, URL:https://edoc.ub.uni-muenchen.de/34029/, IDN:1340725320",Online-Ressource,"Guimerà Cuevas, Felip [Verfasser] ; Schmid, Helmut [Akademischer Betreuer]",Artificial Intelligence for automated decision-making in error-pattern recognition / Felip Guimerà Cuevas ; Betreuer: Helmut Schmid,,,München : Universitätsbibliothek der Ludwig-Maximilians-Universität,2024,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"24,O10"
004 Informatik,"URN:urn:nbn:de:bvb:91-diss-20240506-1724922-1-6, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20240506-1724922-1-6, URL:http://d-nb.info/1334827044/34, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20240506-1724922-1-6, IDN:1334827044",Online-Ressource,"Dax, Gabriel [Verfasser] ; Werner, Martin [Akademischer Betreuer] ; Krstić, Miloš [Gutachter] ; Werner, Martin [Gutachter]","Aspects of Algorithmic Information Theory in Spatial Machine Learning / Gabriel Dax ; Gutachter: Miloš Krstić, Martin Werner ; Betreuer: Martin Werner",,,München : Universitätsbibliothek der TU München,2024,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"24,O08"
004 Informatik,"URN:urn:nbn:de:bvb:91-diss-20240926-1726157-1-4, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20240926-1726157-1-4, URL:http://d-nb.info/1355454611/34, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20240926-1726157-1-4, IDN:1355454611",Online-Ressource,"Traoré, Kalifou René Verfasser] ; [Zhu, Xiaoxiang [Akademischer Betreuer] ; Zhu, Xiaoxiang [Gutachter] ; Chicano, Francisco [Gutachter]","Automated Machine Learning for applications in Earth Observation / Kalifou René Traoré ; Gutachter: Xiaoxiang Zhu, Francisco Chicano ; Betreuer: Xiaoxiang Zhu",,,München : Universitätsbibliothek der TU München,2024,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"25,O03"
004 Informatik,"URN:urn:nbn:de:kobv:b43-612984, URL:http://nbn-resolving.de/urn:nbn:de:kobv:b43-612984, URL:http://d-nb.info/1348357991/34, , IDN:1348357991",Online-Ressource,"Telong, Melissa [Verfasser] ; Zoriyatkha, Aida [Verfasser] ; Pirskawetz, Stephan [Verfasser] ; Meng, Birgit [Verfasser] ; Rogge, Andreas [Herausgeber] ; Meng, Birgit [Herausgeber]","Beton-Datenmanagement anhand von wissensbasierten Datenstrukturen unter Nutzung von Ontologien und Wissensgraphen / Melissa Telong, Aida Zoriyatkha, Stephan Pirskawetz, Birgit Meng ; Herausgeber: Andreas Rogge, Birgit Meng ; Deutscher Ausschuss für Stahlbeton (DAfStb)",,,Berlin : Bundesanstalt für Materialforschung und -prüfung (BAM),2024,Online-Ressource,,,,,,ger,XA-DE-BE,,,,,,lizenzfrei,,,,,"24,O12"
"570 Biowissenschaften, Biologie","URN:urn:nbn:de:gbv:27-dbt-64127-2, URL:http://nbn-resolving.de/urn:nbn:de:gbv:27-dbt-64127-2, URL:http://d-nb.info/1351411446/34, URL:https://www.db-thueringen.de/receive/dbt_mods_00064127, IDN:1351411446",Online-Ressource,"Gönner, Julia von [Verfasser] ; Bonn, Aletta [Gutachter] ; Haklay, Muki [Gutachter] ; Liess, Matthias [Gutachter]","Citizen science for ecological stream monitoring : analysis of data quality, citizen empowerment, and stream health / Julia von Gönner ; Gutachter: Aletta Bonn, Muki Haklay, Matthias Liess",,,Jena : Friedrich-Schiller-Universität Jena,2024,"Online-Ressource, 301 Seiten",,,,,,eng,XA-DE-TH,,,,,,lizenzfrei,Wissenschaft ; Citizen Science ; Biodiversität ; Makroinvertebraten ; Gewässerstruktur,,,,"25,O01"
"610 Medizin, Gesundheit","URN:urn:nbn:de:hbz:294-124238, URL:http://nbn-resolving.de/urn:nbn:de:hbz:294-124238, URL:http://d-nb.info/1336920424/34, URL:https://hss-opus.ub.ruhr-uni-bochum.de/opus4/frontdoor/index/index/docId/12423, IDN:1336920424",Online-Ressource,"Faltus, Timo [Verfasser]",Citizen Science in der Gesundheitsforschung und Medizin – Teil 2 / Timo Faltus,,,Bochum : Ruhr-Universität Bochum,2024,Online-Ressource,,,,,,ger,XA-DE-NW,,,Gesundheitsrecht.blog ; 46,,,lizenzfrei,Citizen Science,,,,"24,O08"
004 Informatik,"URN:urn:nbn:de:bsz:16-heidok-357497, URL:http://nbn-resolving.de/urn:nbn:de:bsz:16-heidok-357497, URL:http://d-nb.info/1350450235/34, URL:http://www.ub.uni-heidelberg.de/archiv/35749, IDN:1350450235",Online-Ressource,"Gierend, Kerstin [Verfasser] ; Ganslandt, Thomas [Akademischer Betreuer]",Collection and modeling of data provenance with an integrated metadata concept in the context of biomedical workflows in Data Integration Centers / Kerstin Gierend ; Betreuer: Thomas Ganslandt,,,Heidelberg : Universitätsbibliothek Heidelberg,2024,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,"Biomedizin, Informatik ; Herkunft ; Daten ; Wiederverwendung",,,,"25,O01"
004 Informatik,"URN:urn:nbn:de:101:1-2404250339107.676611234059, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2404250339107.676611234059, URL:http://d-nb.info/1327401762/34, , IDN:1327401762",Online-Ressource,"Li, Lanxiao [Verfasser] ; Heizmann, Michael [Akademischer Betreuer] ; Mikut, Ralf [Akademischer Betreuer]","Computational, Label, and Data Efficiency in Deep Learning for Sparse 3D Data / Lanxiao Li ; Michael Heizmann, Ralf Mikut",,,Karlsruhe : KIT Scientific Publishing,2024,Online-Ressource,,,,,,eng,XA-DE-BW,,,"Forschungsberichte aus der Industriellen Informationstechnik / Institut für Industrielle Informationstechnik (IIIT), Karlsruher Institut für Technologie ; 33",,,lizenzfrei,,,,,"24,O05"
004 Informatik,"URN:urn:nbn:de:bsz:16-heidok-354131, URL:http://nbn-resolving.de/urn:nbn:de:bsz:16-heidok-354131, URL:http://d-nb.info/1342416309/34, URL:http://www.ub.uni-heidelberg.de/archiv/35413, IDN:1342416309",Online-Ressource,"Fatima, Mehwish [Verfasser] ; Strube, Michael [Akademischer Betreuer]",Cross-lingual Single-document Abstractive Summarization for Science Journalism / Mehwish Fatima ; Betreuer: Michael Strube,,,Heidelberg : Universitätsbibliothek Heidelberg,2024,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Natural Language Processing ; Cross-lingual Summarization ; Science Journalism ; Deep Learning ; LLMs,,,,"24,O10"
"570 Biowissenschaften, Biologie","URN:urn:nbn:de:kobv:11-110-18452/28784-3, URL:http://nbn-resolving.de/urn:nbn:de:kobv:11-110-18452/28784-3, URL:http://d-nb.info/1317580400/34, URL:http://edoc.hu-berlin.de/18452/28784, IDN:1317580400",Online-Ressource,"Meister, Sabine [Verfasser] ; Tiemann, Rüdiger [Gutachter] ; Krüger, Dirk [Gutachter]","Data-based scientific reasoning: Uncovering perceptual and interpretational processes involved in responses to anomalous data in science education / Sabine Meister ; Gutachter: Rüdiger Tiemann, Dirk Krüger",,,Berlin : Humboldt-Universität zu Berlin,2024,Online-Ressource,,,,,,eng,XA-DE-BE,,,,,,lizenzfrei,,,,,"24,O02"
510 Mathematik,"URN:urn:nbn:de:101:1-2412130259451.193941522659, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2412130259451.193941522659, URL:http://d-nb.info/1350969737/34, URL:http://hdl.handle.net/2003/43187, IDN:1350969737",Online-Ressource,"Martignon, Laura [Verfasser] ; Wanisch, Julia [Verfasser] ; Osmanaj, Alberina [Verfasser] ; Engel, Joachim [Verfasser]","Data Science im Kontext von Umwelt und Nachhaltigkeit / Laura Martignon, Julia Wanisch, Alberina Osmanaj, Joachim Engel",,,Dortmund : Universitätsbibliothek Dortmund,2024,Online-Ressource,,,,,,ger,XA-DE-NW,,,,,,lizenzfrei,,,,,"25,O01"
"360 Soziale Probleme, Sozialdienste, Versicherungen","URN:urn:nbn:de:bsz:l189-qucosa2-907127, URL:http://nbn-resolving.de/urn:nbn:de:bsz:l189-qucosa2-907127, URL:http://d-nb.info/1325674524/34, , IDN:1325674524",Online-Ressource,"Sachtler, Clamor [Verfasser]",Datenintegration : die Echtzeit-Lagedarstellung aus der Leitstelle für Mittel der nichtpolizeilichen Gefahrenabwehr / Clamor Sachtler,,,"Leipzig : Hochschule für Technik, Wirtschaft und Kultur",2024,Online-Ressource,,,,,,ger,XA-DE-SN,,,,,,lizenzfrei,,,,,"24,O05"
340 Recht,"URN:urn:nbn:de:bsz:l189-qucosa2-922626, URL:http://nbn-resolving.de/urn:nbn:de:bsz:l189-qucosa2-922626, URL:http://d-nb.info/1334701709/34, , IDN:1334701709",Online-Ressource,"Kiehm, Lisa Katharina [Verfasser]",Datenschutzkonformes Nutzertracking auf Webseiten / Lisa Katharina Kiehm,,,"Leipzig : Hochschule für Technik, Wirtschaft und Kultur",2024,Online-Ressource,,,,,,ger,XA-DE-SN,,,,,,lizenzfrei,,,,,"24,O08"
"300 Sozialwissenschaften, Soziologie, Anthropologie","URN:urn:nbn:de:0307-20240516-001-3, URL:http://nbn-resolving.de/urn:nbn:de:0307-20240516-001-3, URL:http://d-nb.info/1331270251/34, URL:https://kartdok.staatsbibliothek-berlin.de/receive/kartdok_mods_00001095, IDN:1331270251",Online-Ressource,"Rieche, Theodor [Verfasser] ; Sikder, Sujit Kumar [Verfasser] ; Meinel, Gotthard [Verfasser]","Datenverknüpfung von Befragungsdaten mit Geodaten - wie geht das? / Theodor Rieche, Sujit Kumar Sikder, Gotthard Meinel",,,Berlin : KartDok - Repositorium Kartographie Staatsbibliothek zu Berlin - Preußischer Kulturbesitz - Kartenabteilung -,2024,Online-Ressource,,,,,,ger,XA-DE-BE,,,,,,lizenzfrei,Open Science ; Forschungsdaten ; Datenverknüpfung ; Datenschutz,,,,"24,O06"
530 Physik,"URN:urn:nbn:de:bsz:14-qucosa2-936753, URL:http://nbn-resolving.de/urn:nbn:de:bsz:14-qucosa2-936753, URL:http://d-nb.info/1342291174/34, , IDN:1342291174",Online-Ressource,"Fiedler, Lenz [Verfasser] ; Cowan, Thomas [Akademischer Betreuer] ; Cangi, Attila Akademischer Betreuer] ; [Cowan, Thomas [Gutachter] ; Pribram-Jones, Aurora [Gutachter]","Development and Application of Scalable Density Functional Theory Machine Learning Models / Lenz Fiedler ; Gutachter: Thomas Cowan, Aurora Pribram-Jones ; Thomas Cowan, Attila Cangi",,,Dresden : Technische Universität Dresden,2024,Online-Ressource,,,,,,eng,XA-DE-SN,,,,,,lizenzfrei,,,,,"24,O10"
620 Ingenieurwissenschaften und Maschinenbau,"URN:urn:nbn:de:hbz:465-20240314-102616-4, URL:http://nbn-resolving.de/urn:nbn:de:hbz:465-20240314-102616-4, URL:http://d-nb.info/1324308869/34, URL:https://duepublico2.uni-due.de/receive/duepublico_mods_00081714, IDN:1324308869",Online-Ressource,"Pioch, Fabian [Verfasser] ; Schramm, Dieter [Akademischer Betreuer]",Echtzeitfähige digitale Zwillinge auf Basis Physik-informierter neuronaler Netze für die Strömungsvorhersage in und um Stallungen / Fabian Pioch ; Betreuer: Dieter Schramm,,,Duisburg ; Essen : Universität Duisburg-Essen,2024,Online-Ressource,,,,,,ger,XA-DE-NW,,,,,,lizenzfrei,Digitaler Zwilling ; Numerische Strömungssimulation ; Maschinelles Lernen ; Stallluft ; Emissionsverringerung,,,,"24,O04"
"380 Handel, Kommunikation, Verkehr","URN:urn:nbn:de:101:1-2404231047353.884291579589, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2404231047353.884291579589, URL:http://d-nb.info/1327043033/34, URL:https://kobra.uni-kassel.de/handle/123456789/15343, IDN:1327043033",Online-Ressource,"Schmidts, Oliver Michael [Verfasser]",Effektive Integration von heterogenen Produktkatalogen im schnelllebigen Umfeld des E-Commerce / Oliver Michael Schmidts,,,Kassel : Universitätsbibliothek Kassel,2024,Online-Ressource,,,,,,ger,XA-DE-HE,,,,,,lizenzfrei,Produktdaten ; Datenintegration ; Elektronischer Produktkatalog ; Maschinelles Lernen ; Schema &lt;Informatik> ; Matching,,,,"24,O05"
004 Informatik,"URN:urn:nbn:de:bvb:91-diss-20240111-1713746-1-4, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20240111-1713746-1-4, URL:http://d-nb.info/1318627222/34, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20240111-1713746-1-4, IDN:1318627222",Online-Ressource,"Sichert, Moritz-Felipe Verfasser] ; [Neumann, Thomas [Akademischer Betreuer] ; Neumann, Thomas [Gutachter] ; Kemper, Alfons [Gutachter] ; Grust, Torsten [Gutachter]","Efficient and Safe Integration of User-Defined Operators into Modern Database Systems / Moritz-Felipe Sichert ; Gutachter: Thomas Neumann, Alfons Kemper, Torsten Grust ; Betreuer: Thomas Neumann",,,München : Universitätsbibliothek der TU München,2024,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"24,O03"
