subject,identifier,type,creator,title,volume,edition,publisher,year,format,ISBN,ISSN,ISMN,EAN/UPC,binding/price,language,country,date of publication,description,collective title,links,relation,rights,subject headings,connected titles,uniform title,frequency,wv number
004 Informatik,"URN:urn:nbn:de:0070-pub-29810051, URL:http://nbn-resolving.de/urn:nbn:de:0070-pub-29810051, URL:http://d-nb.info/1297397347/34, URL:https://pub.uni-bielefeld.de/record/2981005, IDN:1297397347",Online-Ressource,"Heusinger, Moritz [Verfasser]",Learning with high dimensional data and preprocessing in non-stationary environments / Moritz Heusinger,,,Bielefeld : Universitätsbibliothek Bielefeld,2023,Online-Ressource,,,,,,eng,XA-DE-NW,,,,,,lizenzfrei,,,,,"23,O08"
004 Informatik,"URN:urn:nbn:de:bsz:14-qucosa2-886992, URL:http://nbn-resolving.de/urn:nbn:de:bsz:14-qucosa2-886992, URL:http://d-nb.info/1314113704/34, , IDN:1314113704",Online-Ressource,"Woltmann, Lucas [Verfasser] ; Lehner, Wolfgang [Gutachter] ; Schüle, Maximilian E. [Gutachter]","Local Learning Strategies for Data Management Components / Lucas Woltmann ; Gutachter: Wolfgang Lehner, Maximilian E. Schüle",,,Dresden : Technische Universität Dresden,2023,Online-Ressource,,,,,,eng,XA-DE-SN,,,,,,lizenzfrei,,,,,"24,O01"
004 Informatik,"URN:urn:nbn:de:bvb:91-diss-20230405-1658541-1-8, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20230405-1658541-1-8, URL:http://d-nb.info/1292765682/34, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20230405-1658541-1-8, IDN:1292765682",Online-Ressource,"Kajó, Márton Verfasser] ; [Carle, Georg [Akademischer Betreuer] ; Carle, Georg [Gutachter] ; Stadler, Rolf [Gutachter]","Machine Intuition in Mobile Network Automation / Márton Kajó ; Gutachter: Georg Carle, Rolf Stadler ; Betreuer: Georg Carle",,,München : Universitätsbibliothek der TU München,2023,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"23,O07"
004 Informatik,"URN:urn:nbn:de:bvb:91-diss-20231106-1701646-1-1, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20231106-1701646-1-1, URL:http://d-nb.info/1311676953/34, URL:http://nbn-resolving.de/urn:nbn:de:bvb:91-diss-20231106-1701646-1-1, IDN:1311676953",Online-Ressource,"Winter, Christian Michael Verfasser] ; [Kemper, Alfons [Akademischer Betreuer] ; Neumann, Thomas Gutachter] ; [Kemper, Alfons [Gutachter] ; Schüle, Maximilian E. [Gutachter]","Managing Dynamic Workloads in Relational Database Systems / Christian Michael Winter ; Gutachter: Thomas Neumann, Alfons Kemper, Maximilian E. Schüle ; Betreuer: Alfons Kemper",,,München : Universitätsbibliothek der TU München,2023,Online-Ressource,,,,,,eng,XA-DE-BY,,,,,,lizenzfrei,,,,,"23,O12"
"500 Naturwissenschaften ; 510 Mathematik ; 600 Technik ; 610 Medizin, Gesundheit","URN:urn:nbn:de:bsz:16-heidok-331945, URL:http://nbn-resolving.de/urn:nbn:de:bsz:16-heidok-331945, URL:http://d-nb.info/128737901X/34, URL:http://www.ub.uni-heidelberg.de/archiv/33194, IDN:128737901X",Online-Ressource,"Haupt, Saskia [Verfasser] ; Heuveline, Vincent [Akademischer Betreuer]",Mathematical modeling of Lynch syndrome carcinogenesis / Saskia Haupt ; Betreuer: Vincent Heuveline,,,Heidelberg : Universitätsbibliothek Heidelberg,2023,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,Modellierung ; Carcinogenese ; Angewandte Mathematik ; Data Science ; Gewöhnliche Differentialgleichung,,,,"23,O05"
004 Informatik,"URN:urn:nbn:de:hbz:468-2-1232, URL:http://nbn-resolving.de/urn:nbn:de:hbz:468-2-1232, URL:http://d-nb.info/1303905396/34, URL:https://elekpub.bib.uni-wuppertal.de/urn/urn:nbn:de:hbz:468-2-1232, IDN:1303905396",Online-Ressource,"Riedlinger, Tobias [Verfasser]",Methods and applications of uncertainty quantification for object recognition / Tobias Riedlinger,,,Wuppertal : Universitätsbibliothek,2023,Online-Ressource,,,,,,eng,XA-DE-NW,,,,,,lizenzfrei,,,,,"23,O10"
004 Informatik,"URN:urn:nbn:de:101:1-2023070602080192577241, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2023070602080192577241, URL:http://d-nb.info/1295069768/34, URL:https://www.repo.uni-hannover.de/handle/123456789/14002, IDN:1295069768",Online-Ressource,"Stoffalette Joao, Renato [Verfasser]",Methods for improving entity linking and exploiting social media messages across crises / Renato Stoffalette Joao,,,Hannover : Gottfried Wilhelm Leibniz Universität,2023,Online-Ressource,,,,,,eng,XA-DE-NI,,,,,,lizenzfrei,,,,,"23,O08"
004 Informatik,"URN:urn:nbn:de:101:1-2023060903591446910613, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2023060903591446910613, URL:http://d-nb.info/1292473169/34, URL:http://hdl.handle.net/2003/41581, IDN:1292473169",Online-Ressource,"Podworny, Susanne Verfasser] ; [Frischemeier, Daniel [Verfasser]","Minisymposium 05: Data Science / Susanne Podworny, Daniel Frischemeier",,,Dortmund : Universitätsbibliothek Dortmund,2023,Online-Ressource,,,,,,ger,XA-DE-NW,,,,,,lizenzfrei,,,,,"23,O07"
004 Informatik,"URN:urn:nbn:de:gbv:ilm1-2023000087, URL:http://nbn-resolving.de/urn:nbn:de:gbv:ilm1-2023000087, URL:http://d-nb.info/1292046201/34, URL:https://www.db-thueringen.de/receive/dbt_mods_00057434, IDN:1292046201",Online-Ressource,"Kläbe, Steffen [Verfasser] ; Sattler, Kai-Uwe [Akademischer Betreuer] ; Rabl, Tilmann [Akademischer Betreuer] ; Binnig, Carsten [Akademischer Betreuer]","Modern data analytics in the cloud era / Steffen Kläbe ; Kai-Uwe Sattler, Tilmann Rabl, Carsten Binnig",,,Ilmenau : TU Ilmenau,2023,"Online-Ressource, 171 Seiten",,,,,,eng,XA-DE-TH,,,,,,lizenzfrei,Datenanalyse ; Cloud Computing ; Datenbanksystem ; Maschinelles Lernen ; Framework &lt;Informatik> ; Python &lt;Programmiersprache>,,,,"23,O07"
004 Informatik,"URN:urn:nbn:de:gbv:ilm1-mhb-30971, URL:http://nbn-resolving.de/urn:nbn:de:gbv:ilm1-mhb-30971, URL:http://d-nb.info/1315885379/34, URL:https://www.db-thueringen.de/receive/dbt_mods_00059272, IDN:1315885379",Online-Ressource,"Ilmenau, Präsident der Technischen Universität [Verfasser]",Modulhandbuch Bachelor Informatik : Studienordnungsversion: 2021 / Präsident der Technischen Universität Ilmenau,,,Ilmenau : TU Ilmenau,2023,"Online-Ressource, 218 Seiten",,,,,,ger,XA-DE-TH,,,,,,lizenzfrei,,,,,"24,O02"
004 Informatik,"URN:urn:nbn:de:gbv:ilm1-mhb-29186, URL:http://nbn-resolving.de/urn:nbn:de:gbv:ilm1-mhb-29186, URL:http://d-nb.info/1296339726/34, URL:https://www.db-thueringen.de/receive/dbt_mods_00057941, IDN:1296339726",Online-Ressource,"Ilmenau, Präsident der Technischen Universität [Verfasser]",Modulhandbuch Bachelor Informatik : Studienordnungsversion: 2021 / Präsident der Technischen Universität Ilmenau,,,Ilmenau : TU Ilmenau,2023,"Online-Ressource, 225 Seiten",,,,,,ger,XA-DE-TH,,,,,,lizenzfrei,,,,,"23,O08"
004 Informatik,"URN:urn:nbn:de:bsz:93-opus-ds-138137, URL:http://nbn-resolving.de/urn:nbn:de:bsz:93-opus-ds-138137, URL:http://d-nb.info/1313004588/34, , IDN:1313004588",Online-Ressource,"Riegger, Christian [Verfasser] ; Petrov, Ilia P. [Akademischer Betreuer]",Multi-version indexing for large datasets with high-rate continuous insertions / Christian Riegger ; Betreuer: Ilia Petrov,,,Stuttgart : Universitätsbibliothek der Universität Stuttgart,2023,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,,,,,"24,O01"
004 Informatik,"URN:urn:nbn:de:101:1-2023081605020043796646, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2023081605020043796646, URL:http://d-nb.info/1299362109/34, , IDN:1299362109",Online-Ressource,"Dürr, Fabian [Verfasser] ; Beyerer, Jürgen [Akademischer Betreuer] ; Zöllner, J. Marius [Akademischer Betreuer]","Multimodal Panoptic Segmentation of 3D Point Clouds / Fabian Dürr ; Jürgen Beyerer, Marius Zöllner",,,Karlsruhe : KIT-Bibliothek,2023,Online-Ressource,,,,,,eng,XA-DE-BW,,,,,,lizenzfrei,,,,,"23,O09"
004 Informatik,"URN:urn:nbn:de:101:1-2023101203390637452687, URL:http://nbn-resolving.de/urn:nbn:de:101:1-2023101203390637452687, URL:http://d-nb.info/1305748182/34, , IDN:1305748182",Online-Ressource,"Dürr, Fabian Verfasser] ; [Beyerer, Jürgen [Akademischer Betreuer] ; Zöllner, J. Marius [Akademischer Betreuer]","Multimodal Panoptic Segmentation of 3D Point Clouds / Fabian Dürr ; Jürgen Beyerer, Marius Zöllner",,,Karlsruhe : KIT Scientific Publishing,2023,Online-Ressource,,,,,,eng,XA-DE-BW,,,"Karlsruher Schriften zur Anthropomatik / Lehrstuhl für Interaktive Echtzeitsysteme, Karlsruher Institut für Technologie ; Fraunhofer-Inst. für Optronik, Systemtechnik und Bildauswertung IOSB Karlsruhe ; 63",,,lizenzfrei,,Erscheint auch als Fabian Dürr: Multimodal Panoptic Segmentation of 3D Point Clouds,,,"23,O11"
004 Informatik,"URN:urn:nbn:de:hbz:386-kluedo-73130, URL:http://nbn-resolving.de/urn:nbn:de:hbz:386-kluedo-73130, URL:http://d-nb.info/1293262099/34, URL:https://kluedo.ub.rptu.de/frontdoor/index/index/docId/7313, IDN:1293262099",Online-Ressource,"Schäfer, Nico [Verfasser] ; Michel, Sebastian [Akademischer Betreuer]",On Enabling Efficient and Scalable Processing of Semi-Structured Data / Nico Schäfer ; Betreuer: Sebastian Michel,,,Kaiserslautern-Landau : Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,2023,Online-Ressource,,,,,,eng,XA-DE-RP,,,,,,lizenzfrei,,,,,"23,O07"
"000 Allgemeines, Wissenschaft","URN:urn:nbn:de:0307-20231011-003-3, URL:http://nbn-resolving.de/urn:nbn:de:0307-20231011-003-3, URL:http://d-nb.info/1315693658/34, URL:https://kartdok.staatsbibliothek-berlin.de/receive/kartdok_mods_00000828, IDN:1315693658",Online-Ressource,"Lakes, Tobia Maike [Verfasser]","Open geodata, GI-software und science am Beispiel einer räumlichen COVID-Studie / Tobia Maike Lakes",,,Berlin : KartDok - Repositorium Kartographie Staatsbibliothek zu Berlin - Preußischer Kulturbesitz - Kartenabteilung -,2023,Online-Ressource,,,,,,ger,XA-DE-BE,,,,,,lizenzfrei,Berlin-Neukölln ; Open Science ; Open Data ; COVID-19 ; Pandemie ; Datenschutz ; Open Source ; Python &lt;Programmiersprache> ; Open Access ; FAIR data principles,,,,"24,O02"
